Threshold of rejection,Value of the summary statistics
3.26,4.41
3.25,4.62
3.26,3.97
3.25,4.20
3.26,3.74
3.26,4.11
3.26,4.03
3.26,4.03
3.26,4.05
3.26,4.78
3.26,4.74
3.26,4.29
3.26,4.48
3.26,4.25
3.26,3.95
3.26,3.98
3.26,3.88
3.26,4.45
3.26,4.51
3.26,4.14
3.26,3.71
3.26,4.33
3.26,4.28
3.26,4.47
3.26,4.45
3.26,3.98
3.26,4.94
3.25,4.44
3.26,4.23
3.26,4.06
3.26,3.87
3.26,4.22
3.26,4.25
3.26,4.04
3.26,4.27
3.26,4.22
3.26,4.57
3.26,4.47
3.26,3.67
3.26,3.92
3.26,3.83
3.26,4.61
3.26,4.39
3.26,3.90
3.26,3.94
3.26,4.70
3.26,3.76
3.26,4.22
3.26,4.13
3.26,4.47
3.26,4.10
3.26,3.89
3.27,4.00
3.26,4.08
3.26,4.13
3.26,4.21
3.26,3.84
3.27,4.55
3.26,3.89
3.26,3.98
3.26,4.36
3.26,4.11
3.26,4.45
3.26,4.24
3.26,4.56
3.26,4.11
3.26,4.12
3.26,4.56
3.26,4.60
3.26,4.19
3.26,4.20
3.26,4.17
3.26,4.15
3.26,4.03
3.26,3.89
3.26,4.52
3.25,4.31
3.26,4.21
3.26,4.62
3.26,4.00
3.26,4.12
3.26,4.19
3.26,4.39
3.26,4.28
3.26,3.98
3.26,4.53
3.26,4.74
3.26,3.96
3.26,4.32
3.26,4.53
3.25,4.89
3.26,4.01
3.26,3.97
3.26,4.73
3.26,3.83
3.26,4.12
3.26,4.13
3.26,4.31
3.26,4.61
3.26,3.87
3.26,4.06
3.26,4.03
3.26,4.53
3.26,3.37
3.26,4.62
3.27,4.50
3.26,3.76
3.26,4.64
3.26,3.95
3.26,4.49
3.26,3.67
3.26,4.30
3.26,4.75
3.26,4.16
3.26,4.35
3.26,4.00
3.26,3.52
3.26,4.10
3.26,4.44
3.26,4.56
3.26,4.12
3.26,3.95
3.26,3.91
3.26,4.01
3.26,4.17
3.26,3.87
3.26,4.66
3.26,4.12
3.26,4.28
3.26,4.22
3.26,4.39
3.26,4.67
3.26,4.05
3.26,3.84
3.26,3.89
3.26,4.32
3.26,3.51
3.26,4.23
3.26,4.33
3.26,4.25
3.26,3.73
3.26,5.98
3.26,3.79
3.26,4.64
3.26,4.17
3.27,3.84
3.26,3.98
3.26,4.59
3.26,4.68
3.27,5.70
3.26,3.97
3.26,4.76
3.26,4.62
3.26,4.51
3.26,3.84
3.26,3.94
3.26,3.98
3.26,4.53
3.26,4.05
3.26,4.16
3.26,3.82
3.26,3.63
3.26,4.65
3.26,4.23
3.26,4.55
3.26,4.60
3.26,4.05
3.26,4.00
3.26,4.07
3.26,3.87
3.26,4.28
3.27,4.27
3.26,4.23
3.26,4.30
3.26,3.61
3.26,3.73
3.26,3.94
3.26,4.32
3.27,4.73
3.26,3.94
3.26,4.48
3.26,4.47
3.26,4.00
3.26,4.17
3.26,4.42
3.26,3.87
3.26,3.91
3.26,4.12
3.26,3.81
3.26,4.45
3.26,4.41
